timestamp_ms,ax,ay,az,gx,gy,gz,tempo_s,a_res
1150030,-0.1262,0.9575,0.0151,-2.5649,13.1832,-2.1298,0.0,0.9658989077538084
1150030,-0.126,0.9495,0.0117,-3.084,13.5191,-1.8092,0.0,0.9578951612781015
1150040,-0.1196,0.9526,0.0066,-3.2061,13.6565,-1.3969,0.01,0.9601012863234796
1150040,-0.125,0.9521,0.0181,-3.4962,13.9771,-1.3664,0.01,0.9604410549325763
1150050,-0.1211,0.9551,0.0105,-3.8702,14.2595,-1.7099,0.02,0.9628039623931758
1150050,-0.1243,0.9573,0.0088,-3.9237,14.5115,-1.5573,0.02,0.9653762064604658
1150060,-0.1245,0.959,0.0137,-4.0,14.4504,-1.6718,0.03,0.9671447358074178
1150060,-0.1204,0.9658,0.0059,-4.1221,14.7863,-1.2137,0.03,0.9732936915443354
1150070,-0.1267,0.9734,0.0042,-4.3359,14.9313,-1.1832,0.04,0.9816201352865579
1150070,-0.1187,0.988,0.0081,-4.1374,14.687,-0.9008,0.04,0.9951378296497426
1150080,-0.1196,0.9941,0.0063,-4.3817,14.3588,-0.6718,0.05,1.0012884998840244
1150080,-0.1233,1.0039,0.0059,-4.4962,13.9084,-0.6641,0.05,1.0114607802579396
1150090,-0.1211,1.0112,0.0034,-4.8321,13.5191,-0.4809,0.06,1.0184312495205554
1150090,-0.1257,1.0166,-0.0029,-4.6183,12.7252,-0.5191,0.06,1.0243458693234428
1150100,-0.1248,1.0188,-0.0049,-4.5878,12.4809,-0.6107,0.07,1.0264270505009112
1150100,-0.1221,1.0168,0.0032,-4.8168,11.7176,-0.5038,0.07,1.0241098036831793
1150110,-0.116,1.0083,-0.0039,-4.9695,11.4962,-0.313,0.08,1.0149581764782232
1150110,-0.1067,1.0005,-0.0225,-4.9542,11.3282,-0.1756,0.08,1.0064250543383744
1150120,-0.0984,0.9922,-0.0303,-4.916,11.1298,-0.1374,0.09,0.997527688838761
1150120,-0.1038,0.9766,-0.0398,-4.6031,11.7939,-0.3588,0.09,0.9829069335394883
1150130,-0.1003,0.9622,-0.04,-3.9771,11.8779,-0.8168,0.1,0.96824012001156
1150130,-0.1008,0.946,-0.0422,-3.4809,11.5649,-0.7939,0.1,0.9522906489092497
1150140,-0.0984,0.9307,-0.0459,-2.8092,11.4962,-1.0,0.11,0.9370121984264665
1150140,-0.0984,0.9192,-0.0364,-2.2137,11.1145,-1.2824,0.11,0.9251681793057952
1150150,-0.0884,0.9075,-0.0264,-1.6947,10.1298,-1.4351,0.12,0.9121774882115871
1150150,-0.0823,0.894,-0.0176,-0.9466,8.8779,-1.3511,0.12,0.8979526991996851
1150160,-0.073,0.885,0.0029,-0.542,7.4733,-1.6336,0.13,0.8880103659304884
1150160,-0.073,0.8789,0.0132,-0.1374,6.2824,-1.916,0.13,0.882025198052754
1150170,-0.0637,0.8762,0.0332,0.2214,4.8321,-1.6565,0.14,0.879139562299411
1150170,-0.0549,0.8782,0.042,0.9695,3.2519,-2.0992,0.14,0.8809161424335463
1150180,-0.0388,0.8911,0.072,1.8015,1.5191,-2.0916,0.15,0.8948456012072697
1150180,-0.0244,0.9065,0.0981,2.1756,-0.7023,-1.6107,0.15,0.9121190821378533
1150190,-0.0132,0.9248,0.1177,2.0992,-3.1985,-1.1527,0.16,0.9323532431433914
1150190,0.0015,0.9539,0.1597,1.5954,-6.3206,-0.2443,0.16,0.9671771037405713
1150200,0.0112,0.9812,0.1978,0.313,-9.5878,0.7099,0.17,1.0010013586404367
1150200,0.0291,1.0105,0.2278,-1.5191,-12.9008,2.3206,0.17,1.0362672917737008
1150210,0.0371,1.0376,0.2637,-4.1527,-16.3817,3.8244,0.18,1.0712272681368786
1150210,0.0471,1.0598,0.2861,-7.1527,-19.4733,5.8397,0.18,1.0987482241168811
1150220,0.0569,1.0815,0.3145,-10.9542,-22.7176,8.2443,0.19,1.1277367201612263
1150220,0.0637,1.0916,0.3281,-15.0992,-25.5649,9.9847,0.19,1.1416207163502246
1150230,0.064,1.0872,0.3313,-19.3893,-27.7099,11.7634,0.2,1.1383582608300429
1150230,0.0588,1.0813,0.321,-23.5573,-28.4275,13.8702,0.2,1.129472500771931
1150240,0.052,1.0698,0.3,-26.9695,-27.8702,15.5573,0.21,1.1122841543418662
1150250,0.0325,1.0444,0.2607,-29.687,-26.4733,17.2824,0.22,1.0769364419500345
1150250,0.0178,1.0254,0.2349,-32.5954,-25.0229,18.4122,0.22,1.0521121660735608
1150260,0.0042,1.0085,0.218,-34.4427,-24.4962,19.8244,0.23,1.0318012841627984
1150260,-0.0115,0.9812,0.1917,-35.8626,-24.7405,20.2061,0.23,0.9998172733054775
1150270,-0.0217,0.9631,0.1804,-36.6794,-25.2366,20.4122,0.24,0.9800901285085979
1150270,-0.0415,0.9412,0.177,-37.1298,-25.8092,20.1145,0.24,0.9585972511957251
1150280,-0.0635,0.9221,0.1921,-37.6641,-27.3435,19.145,0.25,0.9440355236960101
1150280,-0.0818,0.906,0.217,-38.2977,-30.0763,17.7176,0.25,0.935209195848715
1150290,-0.1023,0.8896,0.2354,-38.374,-32.8855,15.9389,0.26,0.9258869315418594
1150290,-0.1208,0.8618,0.283,-39.1221,-36.2824,13.9084,0.26,0.9150851763633809
1150300,-0.1326,0.8374,0.3215,-40.0992,-40.5878,12.4198,0.27,0.9067434973574391
1150300,-0.144,0.8154,0.3455,-42.229,-44.374,11.0534,0.27,0.8972086769531378
1150310,-0.1824,0.7517,0.3638,-43.7328,-48.4198,8.6565,0.28,0.854794179905315
1150310,-0.1941,0.7249,0.376,-45.4198,-52.7786,6.2748,0.28,0.8393633420634952
1150320,-0.23,0.7905,0.4448,-50.4198,-58.1527,4.4122,0.29,0.9357549305240127
1150320,-0.2605,0.7966,0.4468,-58.6336,-65.0153,4.2672,0.29,0.9497694720299237
1150330,-0.2698,0.8274,0.4839,-67.0076,-75.7863,5.7405,0.3,0.9957620247830302
1150330,-0.3152,0.7075,0.4175,-75.7023,-77.7786,2.7328,0.3,0.8798940504401652
1150340,-0.2551,0.6086,0.365,-79.5343,-80.8931,0.6412,0.31,0.7541186710326168
1150350,-0.1704,0.4854,0.2834,-78.458,-83.3893,-2.9847,0.32,0.5873371093333027
1150350,-0.0798,0.4785,0.2556,-73.9924,-82.2824,-5.5954,0.32,0.5483262258911203
1150360,0.0781,0.4934,0.1951,-67.7405,-75.9542,-4.3588,0.33,0.5362902012903089
1150360,0.2605,0.5542,0.2822,-64.4046,-67.7863,0.7405,0.33,0.6742660676617206
1150370,0.4373,0.6003,0.3145,-64.1985,-59.3282,7.8626,0.34,0.8065368125510453
1150370,0.6208,0.6665,0.3745,-63.4733,-52.3511,21.9008,0.34,0.9848173130078492
1150380,0.6375,0.7014,0.4939,-68.4885,-46.2977,38.1069,0.35,1.0687868917609347
