timestamp_ms,ax,ay,az,gx,gy,gz,tempo_s,a_res
1910760,0.1548,0.9585,0.1562,-2.0687,0.2748,-1.2595,0.0,0.9834041539468908
1910760,0.1511,0.9585,0.1611,-2.1527,0.1985,-1.0611,0.0,0.9836191691910036
1910770,0.145,0.958,0.1575,-2.1069,0.229,-1.1298,0.01,0.9816288758996446
1910770,0.1445,0.959,0.1541,-2.2061,0.2595,-1.1069,0.01,0.9819918838768475
1910780,0.1428,0.96,0.1487,-2.5191,0.9008,-1.0229,0.02,0.9818877379823011
1910780,0.1438,0.9666,0.1501,-2.458,1.8855,-0.7252,0.02,0.9886981389686136
1910790,0.135,0.9697,0.1467,-2.1374,2.2901,-0.5038,0.03,0.9899818079136606
1910790,0.1287,0.9734,0.1504,-2.084,2.7863,-0.3435,0.03,0.9933234166171662
1910800,0.1262,0.9771,0.1465,-1.9313,3.2443,-0.5267,0.04,0.9960487437871702
1910800,0.1223,0.9824,0.1492,-1.4962,3.8702,-0.1221,0.04,1.0011631685194977
1910810,0.1091,0.9827,0.1602,-1.2901,4.3053,0.2366,0.05,1.001631738714384
1910810,0.1099,0.9807,0.1538,-1.0076,4.4504,0.0687,0.05,0.9987516908621482
1910820,0.0945,0.9878,0.1572,-0.916,5.1985,0.5115,0.06,1.0046844927637733
1910820,0.0889,0.9868,0.1587,-0.8321,5.8397,0.5344,0.06,1.0034257022819377
1910830,0.0872,0.9888,0.1616,-1.1985,7.3435,0.8015,0.07,1.0057056428200053
1910830,0.0818,0.9888,0.158,-1.5191,8.4275,1.1527,0.07,1.0046793916469074
1910840,0.0745,0.9829,0.1538,-1.6641,9.1603,1.1603,0.08,0.9976457788213209
1910840,0.0645,0.9783,0.1511,-1.4198,10.2137,1.229,0.08,0.9919991683464255
1910850,0.0645,0.9709,0.1543,-1.4656,10.6183,0.9466,0.09,0.9851982287844411
1910850,0.0598,0.9609,0.1492,-1.5802,10.8321,0.6183,0.09,0.9742512458293292
1910860,0.0625,0.9585,0.1445,-1.4885,11.1069,0.6107,0.1,0.9713437856907307
1910860,0.0703,0.9556,0.1409,-1.229,11.5038,0.2137,0.1,0.9684865822508849
1910870,0.0793,0.9568,0.134,-1.6031,11.7481,-0.0382,0.11,0.9693867803926356
1910870,0.0945,0.9602,0.1326,-1.458,12.0611,-0.4046,0.11,0.9739081322178187
1910880,0.1025,0.9697,0.1252,-1.2901,12.2977,-0.6794,0.12,0.9831070033317838
1910880,0.1104,0.9729,0.1316,-1.0992,12.0382,-1.0611,0.12,0.9879479389117627
1910890,0.1272,0.9775,0.1272,-0.7863,11.9313,-1.1603,0.13,0.9939144480286017
1910890,0.1345,0.9844,0.1252,-0.3664,12.2977,-1.6641,0.13,1.001403340317976
1910900,0.1433,0.9839,0.1199,-0.1527,11.458,-1.8321,0.14,1.0014839539403515
1910900,0.1538,0.9834,0.1262,-0.0076,10.687,-2.0763,0.14,1.0033226998329103
1910910,0.1499,0.9895,0.1172,0.1985,9.9695,-2.542,0.15,1.007628949564273
1910910,0.1599,0.9873,0.125,0.5954,8.9847,-2.7099,0.15,1.007945583848652
1910920,0.1594,0.9885,0.1309,1.084,7.9237,-3.1527,0.16,1.009789790005821
1910920,0.1646,0.9875,0.125,1.6565,6.7863,-3.3969,0.16,1.0088976211687686
1910930,0.1724,0.9841,0.1274,1.9466,4.9924,-3.5573,0.17,1.0071769109744326
1910930,0.1763,0.9836,0.1292,2.5802,4.0076,-3.6794,0.17,1.0075928195456736
1910940,0.1799,0.9814,0.1262,2.6718,2.9924,-3.8321,0.18,1.0057019488894312
1910940,0.1846,0.9819,0.1267,2.8397,1.916,-4.1832,0.18,1.0071035994375157
1910950,0.1885,0.9763,0.1372,3.1527,1.0534,-4.084,0.19,1.0037518518040203
1910950,0.1926,0.9727,0.1384,3.1603,-0.2595,-4.2672,0.19,1.001196589087278
1910960,0.1912,0.9683,0.1338,3.4962,-1.1756,-4.4656,0.2,0.9960244826308238
1910960,0.1943,0.9636,0.137,3.3664,-2.2443,-4.4275,0.2,0.992495062960013
1910970,0.2007,0.9656,0.1389,3.3359,-2.9313,-4.1832,0.21,0.99597041120708
