timestamp_ms,ax,ay,az,gx,gy,gz,tempo_s,a_res
2195290,0.5276,0.667,0.4451,-22.4886,72.3511,35.0076,0.0,0.959877476556253
2195290,0.5518,0.634,0.4216,-25.7786,68.9008,33.5344,0.0,0.9403115441171611
2195300,0.5344,0.6353,0.4492,-28.0076,65.1756,32.1145,0.01,0.9439121198501479
2195300,0.5388,0.6248,0.459,-30.1908,61.6412,30.1756,0.01,0.9441194204124814
2195310,0.5698,0.6245,0.4971,-33.0763,57.4504,26.8626,0.02,0.9807041857767305
2195310,0.626,0.6196,0.5625,-36.4427,51.0382,24.9008,0.02,1.0450772268114927
2195320,0.6858,0.5979,0.6125,-40.1985,42.3969,23.2748,0.03,1.0967963803733125
2195320,0.7185,0.5559,0.6003,-41.3511,33.9008,21.855,0.03,1.088865074286066
2195330,0.7905,0.5129,0.5571,-40.4962,30.0305,22.1756,0.04,1.094676696563876
2195330,0.9004,0.4612,0.5137,-38.7863,27.6412,22.374,0.04,1.1345982945518647
2195340,0.96,0.4348,0.4736,-35.5496,29.8015,23.7023,0.05,1.1553994980092384
2195340,0.9341,0.4265,0.5181,-32.9389,31.6107,21.8855,0.05,1.1501620190216681
2195350,0.9497,0.4336,0.5496,-31.0534,32.0229,20.3511,0.06,1.1798301615063076
2195350,0.9958,0.446,0.605,-30.4962,30.2824,19.8779,0.06,1.2476211925099703
2195360,1.0459,0.4446,0.5571,-30.2214,32.771,19.542,0.07,1.2656762540239113
2195360,1.1526,0.4749,0.5259,-29.0992,36.8397,20.2366,0.07,1.3529920842340506
2195370,1.2322,0.4875,0.5596,-27.3282,36.7252,22.6336,0.08,1.438445428231464
2195370,1.3699,0.5244,0.4741,-24.0076,34.7557,27.4504,0.08,1.5415551174057966
2195380,1.3865,0.5171,0.3401,-15.0382,36.9695,34.4504,0.09,1.518368423670619
2195380,1.2334,0.5205,0.2449,-3.626,49.0229,35.4046,0.09,1.360945193606267
2195390,1.0527,0.5813,0.4355,0.5802,48.3282,32.0916,0.1,1.2789633419297053
2195390,0.9412,0.655,0.4612,0.3893,43.2137,27.9237,0.1,1.2359562613620274
2195400,0.8408,0.7085,0.4224,0.542,38.4427,22.6336,0.11,1.1778534076870517
2195400,0.7966,0.7488,0.4119,1.5725,31.8702,16.6183,0.11,1.168304159883033
2195410,0.7749,0.7673,0.4177,2.1374,23.8626,10.542,0.12,1.1677724906847222
2195410,0.7444,0.7622,0.4136,1.7634,14.8779,4.8321,0.12,1.1428670788853794
2195420,0.7258,0.771,0.4128,0.8244,5.3206,-0.7863,0.13,1.1364992212931782
2195420,0.7056,0.7795,0.4136,-0.1374,-4.8931,-5.687,0.13,1.129848029603982
2195430,0.6826,0.7969,0.4021,-1.313,-16.2824,-10.6794,0.14,1.1236889160261394
2195430,0.6646,0.7971,0.3816,-1.7786,-28.9466,-14.2901,0.14,1.1057486739761435
2195440,0.6526,0.792,0.3447,-1.771,-41.9847,-17.2443,0.15,1.08257510132092
2195440,0.6343,0.8027,0.3164,-0.9084,-53.1985,-18.9924,0.15,1.0708747545815056
2195450,0.6101,0.7925,0.2771,0.8168,-62.6489,-21.0153,0.16,1.0378162987735353
2195450,0.6001,0.8125,0.2395,3.5267,-69.5115,-22.0763,0.16,1.038092727072105
2195460,0.5742,0.7971,0.1846,7.0534,-74.229,-23.0229,0.17,0.9995755149062027
2195460,0.5527,0.7866,0.1636,11.4656,-77.2061,-23.2977,0.17,0.9751829623204047
2195470,0.5498,0.7659,0.1274,16.2977,-78.6641,-23.2748,0.18,0.9513745897384479
2195470,0.5662,0.7632,0.0991,21.5191,-78.0534,-22.5802,0.18,0.9554462255930473
2195480,0.5454,0.7366,0.1013,26.5725,-76.7786,-21.7481,0.19,0.9221184359939888
2195490,0.5466,0.7139,0.0945,31.1603,-75.6947,-20.5191,0.2,0.9040768883231116
2195490,0.5312,0.6934,0.1035,35.4656,-74.1069,-19.2443,0.2,0.8795960720694471
2195500,0.5344,0.6663,0.1074,39.2977,-72.4657,-17.8702,0.21,0.8608564398318689
2195500,0.5161,0.6345,0.1226,43.6489,-70.4046,-16.1145,0.21,0.8270309667721033
