timestamp_ms,ax,ay,az,gx,gy,gz,tempo_s,a_res
1787580,0.563,0.8879,0.0293,3.1756,0.9389,-0.5267,0.0,1.0517575290911874
1787580,0.552,0.8818,0.0315,3.3053,0.5573,-0.3893,0.0,1.0408013691382232
1787590,0.541,0.874,0.0374,3.4122,0.4427,-0.374,0.01,1.0285697642843679
1787590,0.5339,0.8728,0.0437,4.0611,0.4351,-0.7634,0.01,1.024079459807685
1787600,0.5222,0.8511,0.0596,4.2977,0.2901,-1.0687,0.02,1.0003080575502727
1787600,0.5083,0.8391,0.0671,4.8321,-0.5725,-1.2748,0.02,0.9833412988377941
1787610,0.4995,0.8264,0.0779,5.3359,-1.4351,-1.458,0.03,0.9687649973032676
1787610,0.4983,0.8193,0.0947,5.4885,-2.0382,-1.6107,0.03,0.9635992268573071
1787620,0.4971,0.8105,0.1045,5.7863,-2.6489,-1.5878,0.04,0.9565243906979058
1787620,0.5022,0.7942,0.1143,5.8244,-2.9618,-1.687,0.04,0.9465848984639466
1787630,0.4946,0.783,0.1313,5.7252,-2.8626,-1.8626,0.05,0.9353918162994586
1787630,0.4951,0.7683,0.136,5.8092,-2.4733,-1.3435,0.05,0.9240697484497584
1787640,0.4985,0.7595,0.1479,5.5115,-1.6641,-1.2061,0.06,0.9204438657517361
1787640,0.5044,0.7473,0.1506,5.4275,-0.5267,-0.6718,0.06,0.9140880756251007
1787650,0.5027,0.7397,0.1516,4.7099,0.4351,0.0763,0.07,0.90710856020655
1787650,0.5134,0.7346,0.1558,4.5802,2.145,0.6412,0.07,0.9096649712943772
1787660,0.5215,0.7305,0.157,4.3969,3.5802,1.3359,0.08,0.9111758886186575
1787660,0.5298,0.7302,0.1575,4.4427,4.6947,2.2595,0.08,0.9157981928350809
1787660,0.5312,0.7336,0.1626,4.0458,6.0458,2.916,0.08,0.9202071288574111
1787670,0.5381,0.7312,0.167,3.5496,7.1908,3.229,0.09,0.923089405204068
1787670,0.54,0.7356,0.1545,3.1221,8.0076,3.5344,0.09,0.925514781081318
1787680,0.5488,0.7407,0.1646,2.2366,8.6031,3.8168,0.1,0.9364353100988877
1787680,0.5608,0.738,0.157,1.3664,9.3206,3.9771,0.1,0.9401008669286504
1787690,0.5615,0.7417,0.1514,0.5725,9.855,4.0916,0.11,0.9425089389496526
1787690,0.5718,0.7454,0.1299,-0.2366,10.1985,4.1069,0.11,0.9483935944532733
1787700,0.5798,0.741,0.1265,-1.1603,10.4656,3.8855,0.12,0.9493425567201758
1787700,0.583,0.738,0.1211,-2.229,10.5496,3.7176,0.12,0.9482606234574965
1787710,0.5918,0.7412,0.1167,-3.2672,10.2519,3.4122,0.13,0.9556273175249858
1787710,0.5916,0.7407,0.1123,-4.4504,10.0687,2.8779,0.13,0.9545880472748441
1787720,0.6013,0.7317,0.1096,-5.4122,9.1527,2.374,0.14,0.9533932766702312
1787720,0.6064,0.7366,0.1025,-6.4733,8.7481,1.5725,0.14,0.9595867704381924
1787730,0.6099,0.7329,0.103,-7.6183,7.9695,1.1069,0.15,0.9590252447146529
1787730,0.6147,0.7339,0.1038,-8.7786,7.4351,0.5649,0.15,0.9629328844732639
1787740,0.6182,0.7356,0.1001,-9.6336,6.6336,0.2595,0.16,0.9660738118798169
1787740,0.6228,0.74,0.0962,-10.8321,6.1298,-0.542,0.16,0.9719744235318128
1787750,0.6267,0.7434,0.0903,-11.7176,5.2672,-0.9008,0.17,0.9764991244235706
1787750,0.6252,0.7515,0.0925,-12.5954,3.8779,-1.4351,0.17,0.981928480083962
1787760,0.6221,0.7554,0.0872,-13.1374,2.4885,-2.542,0.18,0.9824670019903976
