timestamp_ms,ax,ay,az,gx,gy,gz,tempo_s,a_res
1307630,0.47,0.6895,0.4531,-3.5878,-6.4504,-13.2748,0.0,0.9495313896865126
1307630,0.4761,0.696,0.4539,-4.4504,-5.0992,-13.0076,0.0,0.9576598665497057
1307640,0.4868,0.6997,0.4507,-4.855,-3.5878,-12.5725,0.01,0.9642016490340596
1307640,0.4961,0.7,0.4451,-5.374,-1.9466,-11.8702,0.01,0.9665553372673497
1307650,0.4973,0.6985,0.4521,-5.6183,-0.0611,-10.855,0.02,0.9693317027725855
1307650,0.5076,0.7002,0.4517,-6.374,1.5573,-10.1145,0.02,0.9756898533857981
1307660,0.5046,0.6965,0.4551,-7.0382,3.6336,-9.0458,0.03,0.97306187881347
1307660,0.5081,0.7009,0.4526,-7.3206,5.542,-7.6412,0.03,0.9768690700395831
1307670,0.5129,0.6978,0.4529,-7.6718,7.2901,-6.3588,0.04,0.9772971196110218
1307670,0.519,0.6902,0.4529,-7.5954,9.0382,-4.4504,0.04,0.9751181723257957
1307680,0.5383,0.6794,0.468,-7.9466,10.7176,-2.8855,0.05,0.9850762660829872
1307680,0.5525,0.6699,0.481,-8.2748,11.855,-0.7252,0.05,0.9926647268841581
1307690,0.5447,0.678,0.4951,-9.3893,12.6183,0.687,0.06,1.0007527666711695
1307690,0.5293,0.6711,0.4922,-10.0992,12.7023,1.916,0.06,0.9863034725681544
1307700,0.5205,0.6729,0.4907,-11.084,13.0763,2.7863,0.07,0.982090194432263
1307700,0.5266,0.6868,0.4958,-12.0382,12.1527,3.9237,0.07,0.9974063565067148
1307710,0.541,0.6875,0.489,-12.855,10.9618,5.1374,0.08,1.0022266460237423
1307710,0.5623,0.6892,0.4802,-13.1221,8.771,6.4504,0.08,1.0108263797507464
1307720,0.5903,0.6719,0.4756,-13.1756,7.3817,7.6031,0.09,1.0129654781876825
1307720,0.6067,0.6616,0.481,-12.7405,6.4427,8.5496,0.09,1.0184107471938815
1307730,0.636,0.6604,0.4802,-12.2748,6.2137,9.313,0.1,1.0349957487835397
1307730,0.6455,0.6619,0.4614,-11.8397,6.542,10.0534,0.1,1.033282062168893
1307740,0.6584,0.6614,0.4495,-10.8702,7.7176,11.1527,0.11,1.0358526777491093
1307740,0.6653,0.6575,0.4358,-9.9389,9.0916,11.5802,0.11,1.0319166536111335
1307750,0.6689,0.6536,0.4351,-9.4275,11.1374,11.9008,0.12,1.0314708817993847
